test_acc	variant	model_source	runset	log
0.7625	h5_ddp4	-	patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444/h5_ddp4.out
0.7547	h5_ddp4	-	patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124/h5_ddp4.out
0.7625	h5_single	-	patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124/h5_single.out
0.7625	h5_single	-	patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444/h5_single.out
0.8003	obj_bg	patchcls	patchcls_raypatch_s0_20260228_074613	logs/sanity/patchcls/patchcls_raypatch_s0_20260228_074613/obj_bg.out
0.7831	obj_bg	-	patchcls_obj_bg_pmalign_splitfile_20260227_223435	logs/sanity/patchcls/patchcls_obj_bg_pmalign_splitfile_20260227_223435/obj_bg.out
0.7831	obj_bg	-	patchcls_scan3_scratch_pmalign_20260227_202814	logs/sanity/patchcls/patchcls_scan3_scratch_pmalign_20260227_202814/obj_bg.out
0.7659	obj_bg	-	patchcls_obj_bg_pmalign_vanilla_fix_20260228_043920	logs/sanity/patchcls/patchcls_obj_bg_pmalign_vanilla_fix_20260228_043920/obj_bg.out
0.7659	obj_bg	patchcls	patchcls_raypatch_s0_strict_20260228_075456	logs/sanity/patchcls/patchcls_raypatch_s0_strict_20260228_075456/obj_bg.out
0.7608	obj_bg	patchcls	patchnepa_ptonly_ft_from100047_20260301_004316	logs/sanity/patchcls/patchnepa_ptonly_ft_from100047_20260301_004316/obj_bg.out
0.7108	obj_bg	-	patchcls_scan3_scratch_v3nonorm_20260227_055706	logs/sanity/patchcls/patchcls_scan3_scratch_v3nonorm_20260227_055706/obj_bg.out
0.7074	obj_bg	-	patchcls_scan3_scratch_h5_20260227_061351	logs/sanity/patchcls/patchcls_scan3_scratch_h5_20260227_061351/obj_bg.out
0.6833	obj_bg	-	patchcls_scan3_scratch_retry2_20260227_053922	logs/sanity/patchcls/patchcls_scan3_scratch_retry2_20260227_053922/obj_bg.out
0.7711	obj_bg_full	-	patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_full.out
0.7418	obj_bg_full	-	patchcls_nepa2d_comp_objbg_ng64_20260228_063529	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_ng64_20260228_063529/obj_bg_full.out
0.7797	obj_bg_layerscale_only	-	patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_layerscale_only.out
