runset	variant	status	test_acc	model_source	log
patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124	h5_ddp4	completed	0.7547	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124/h5_ddp4.out
patchcls_objonly_eval_repro_ddp_vs_single_fixeven_20260227_144243	h5_ddp4	no_test_acc	-	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_fixeven_20260227_144243/h5_ddp4.out
patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444	h5_ddp4	completed	0.7625	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444/h5_ddp4.out
patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124	h5_single	completed	0.7625	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_20260227_144124/h5_single.out
patchcls_objonly_eval_repro_ddp_vs_single_fixeven_20260227_144243	h5_single	no_test_acc	-	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_fixeven_20260227_144243/h5_single.out
patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444	h5_single	completed	0.7625	-	logs/sanity/patchcls/patchcls_objonly_eval_repro_ddp_vs_single_mainEval_20260227_144444/h5_single.out
patchcls_obj_bg_pmalign_splitfile_20260227_223435	obj_bg	completed	0.7831	-	logs/sanity/patchcls/patchcls_obj_bg_pmalign_splitfile_20260227_223435/obj_bg.out
patchcls_obj_bg_pmalign_vanilla_20260228_043758	obj_bg	no_test_acc	-	-	logs/sanity/patchcls/patchcls_obj_bg_pmalign_vanilla_20260228_043758/obj_bg.out
patchcls_obj_bg_pmalign_vanilla_fix_20260228_043920	obj_bg	completed	0.7659	-	logs/sanity/patchcls/patchcls_obj_bg_pmalign_vanilla_fix_20260228_043920/obj_bg.out
patchcls_raypatch_s0_20260228_074613	obj_bg	completed	0.8003	patchcls	logs/sanity/patchcls/patchcls_raypatch_s0_20260228_074613/obj_bg.out
patchcls_raypatch_s0_strict_20260228_075456	obj_bg	completed	0.7659	patchcls	logs/sanity/patchcls/patchcls_raypatch_s0_strict_20260228_075456/obj_bg.out
patchcls_scan3_scratch_20260227_053526	obj_bg	no_test_acc	-	-	logs/sanity/patchcls/patchcls_scan3_scratch_20260227_053526/obj_bg.out
patchcls_scan3_scratch_h5_20260227_061351	obj_bg	completed	0.7074	-	logs/sanity/patchcls/patchcls_scan3_scratch_h5_20260227_061351/obj_bg.out
patchcls_scan3_scratch_pmalign_20260227_202814	obj_bg	completed	0.7831	-	logs/sanity/patchcls/patchcls_scan3_scratch_pmalign_20260227_202814/obj_bg.out
patchcls_scan3_scratch_retry1_20260227_053722	obj_bg	no_test_acc	-	-	logs/sanity/patchcls/patchcls_scan3_scratch_retry1_20260227_053722/obj_bg.out
patchcls_scan3_scratch_retry2_20260227_053922	obj_bg	completed	0.6833	-	logs/sanity/patchcls/patchcls_scan3_scratch_retry2_20260227_053922/obj_bg.out
patchcls_scan3_scratch_v3nonorm_20260227_055706	obj_bg	completed	0.7108	-	logs/sanity/patchcls/patchcls_scan3_scratch_v3nonorm_20260227_055706/obj_bg.out
patchnepa_ptonly_ft_from100047_20260301_004316	obj_bg	completed	0.7608	patchcls	logs/sanity/patchcls/patchnepa_ptonly_ft_from100047_20260301_004316/obj_bg.out
patchcls_nepa2d_comp_objbg_20260228_044626	obj_bg_full	no_test_acc	-	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_20260228_044626/obj_bg_full.out
patchcls_nepa2d_comp_objbg_ng64_20260228_063529	obj_bg_full	completed	0.7418	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_ng64_20260228_063529/obj_bg_full.out
patchcls_nepa2d_comp_objbg_nopos_20260228_045548	obj_bg_full	no_test_acc	-	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_20260228_045548/obj_bg_full.out
patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	obj_bg_full	completed	0.7711	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_full.out
patchcls_nepa2d_comp_objbg_20260228_044626	obj_bg_layerscale_only	no_test_acc	-	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_20260228_044626/obj_bg_layerscale_only.out
patchcls_nepa2d_comp_objbg_ng64_20260228_063529	obj_bg_layerscale_only	completed	0.7659	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_ng64_20260228_063529/obj_bg_layerscale_only.out
patchcls_nepa2d_comp_objbg_nopos_20260228_045548	obj_bg_layerscale_only	no_test_acc	-	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_20260228_045548/obj_bg_layerscale_only.out
patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	obj_bg_layerscale_only	completed	0.7797	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_layerscale_only.out
