test_acc	variant	ft_mode	pooling	cls_token	is_causal	model_source	runset	log
0.8193	obj_only	qa_zeroa	cls_max	-	False	patchnepa(direct)	patchnepaFT_splitx2_dualmask_baseline_20260301_040740	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_baseline_20260301_040740/obj_only.out
0.8158	obj_only	qa_zeroa	cls_max	bos	False	patchnepa(direct)	patchnepaFT_objonly_fromB768_E300_retry_20260301_230030	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromB768_E300_retry_20260301_230030/obj_only.out
0.8090	obj_only	q_only	mean_q	-	False	patchnepa(direct)	patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200/obj_only.out
0.8072	obj_bg	qa_zeroa	cls_max	bos	False	patchnepa(direct)	patchnepa_ft	logs/sanity/patchnepa_ft/obj_bg.out
0.8072	obj_only	-	cls_max	-	False	patchnepa(direct)	patchnepa_refactor_repro1_20260301_021900	logs/sanity/patchnepa_ft/patchnepa_refactor_repro1_20260301_021900/obj_only.out
0.7986	obj_bg	q_only	mean_q	-	False	patchnepa(direct)	patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_meanq_fix_20260301_133200/obj_bg.out
0.7969	obj_only	qa_zeroa	cls_max	bos	False	patchnepa(direct)	patchnepaFT_objonly_fromEMA100_ema_20260301_170323	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromEMA100_ema_20260301_170323/obj_only.out
0.7900	obj_bg	qa_zeroa	cls_max	-	False	patchnepa(direct)	patchnepaFT_splitx2_dualmask_baseline_20260301_040740	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_baseline_20260301_040740/obj_bg.out
0.7900	obj_only	qa_zeroa	cls_max	-	False	patchnepa(direct)	patchnepaFT_splitx2_encdec1_baseline_20260301_040736	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_encdec1_baseline_20260301_040736/obj_only.out
0.7883	obj_only	qa_zeroa	cls_max	bos	False	patchnepa(direct)	patchnepaFT_objonly_fromB768_probe_retry_20260301_230010	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromB768_probe_retry_20260301_230010/obj_only.out
0.7866	obj_only	qa_zeroa	cls_max	bos	False	patchnepa(direct)	patchnepaFT_objonly_fromE300_dualmask_splitsep_20260301_170815	logs/sanity/patchnepa_ft/patchnepaFT_objonly_fromE300_dualmask_splitsep_20260301_170815/obj_only.out
0.7814	obj_only	q_only	cls_max	-	False	patchnepa(direct)	patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157/obj_only.out
0.7797	obj_bg	q_only	cls_max	-	False	patchnepa(direct)	patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155	logs/sanity/patchnepa_ft/patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155/obj_bg.out
0.7797	obj_bg	qa_zeroa	cls_max	-	False	patchnepa(direct)	patchnepaFT_splitx2_encdec1_baseline_20260301_040736	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_encdec1_baseline_20260301_040736/obj_bg.out
0.7797	obj_only	q_only	cls_max	-	False	patchnepa(direct)	patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155	logs/sanity/patchnepa_ft/patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155/obj_only.out
0.7762	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepaFT_indpatch_llrdoff_default_20260302_0015	logs/sanity/patchnepa_ft/patchnepaFT_indpatch_llrdoff_default_20260302_0015/obj_only.out
0.7720	pb_t50_rs	qa_zeroa	cls_max	bos	False	patchnepa(direct)	patchnepa_ft	logs/sanity/patchnepa_ft/pb_t50_rs.out
0.7711	obj_bg	qa_zeroa	cls_max	last_q	False	patchnepa(direct)	patchnepaFT_from_ptonlyema_rerun_llrdoff_pmhead_20260302_004316	logs/sanity/patchnepa_ft/patchnepaFT_from_ptonlyema_rerun_llrdoff_pmhead_20260302_004316/obj_bg.out
0.7711	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepaFT_objonly_encdec1_lastq_llrd_20260301_154822	logs/sanity/patchnepa_ft/patchnepaFT_objonly_encdec1_lastq_llrd_20260301_154822/obj_only.out
0.7676	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepaFT_ablate_objonly_static_lastq_freeze1_20260301_170205	logs/sanity/patchnepa_ft/patchnepaFT_ablate_objonly_static_lastq_freeze1_20260301_170205/obj_only.out
0.7676	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepaFT_objonly_dualmask_lastq_llrd_20260301_154828	logs/sanity/patchnepa_ft/patchnepaFT_objonly_dualmask_lastq_llrd_20260301_154828/obj_only.out
0.7659	obj_only	qa_zeroa	cls_max	last_q	False	patchnepa(direct)	patchnepaFT_from_ptonlyema_rerun_llrdoff_pmhead_20260302_004316	logs/sanity/patchnepa_ft/patchnepaFT_from_ptonlyema_rerun_llrdoff_pmhead_20260302_004316/obj_only.out
0.7642	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepaFT_objonly_interleave_fix_gb128_20260301_173714	logs/sanity/patchnepa_ft/patchnepaFT_objonly_interleave_fix_gb128_20260301_173714/obj_only.out
0.7573	obj_bg	q_only	cls_max	-	False	patchnepa(direct)	patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157/obj_bg.out
0.7533	pb_t50_rs	q_only	cls_max	-	False	patchnepa(direct)	patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155	logs/sanity/patchnepa_ft/patchnepaFT_rerun_encdec1_qonly_fix_20260301_133155/pb_t50_rs.out
0.7519	pb_t50_rs	qa_zeroa	cls_max	-	False	patchnepa(direct)	patchnepaFT_splitx2_dualmask_baseline_20260301_040740	logs/sanity/patchnepa_ft/patchnepaFT_splitx2_dualmask_baseline_20260301_040740/pb_t50_rs.out
0.7512	pb_t50_rs	q_only	cls_max	-	False	patchnepa(direct)	patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157	logs/sanity/patchnepa_ft/patchnepaFT_rerun_dualmask_qonly_fix_20260301_133157/pb_t50_rs.out
