phase,method,n_way,k_shot,trial_or_seed,test_acc,val_acc,run_dir
full,scratch,,,0,0.8642625607779578,0.8788819875776398,runs/modelnet40_pointgpt_protocol/full/scan_scratch_s0
full,scratch,,,1,0.8541329011345219,0.8737060041407867,runs/modelnet40_pointgpt_protocol/full/scan_scratch_s1
full,scratch,,,2,0.8581847649918962,0.8840579710144928,runs/modelnet40_pointgpt_protocol/full/scan_scratch_s2
full,shapenet_mesh_udf_nepa,,,0,0.86709886547812,0.8861283643892339,runs/modelnet40_pointgpt_protocol/full/scan_shapenet_mesh_udf_nepa_s0
full,shapenet_mesh_udf_nepa,,,1,0.8549432739059968,0.8923395445134575,runs/modelnet40_pointgpt_protocol/full/scan_shapenet_mesh_udf_nepa_s1
full,shapenet_mesh_udf_nepa,,,2,0.8679092382495948,0.8964803312629399,runs/modelnet40_pointgpt_protocol/full/scan_shapenet_mesh_udf_nepa_s2
full,shapenet_mix_mae,,,0,0.8606158833063209,0.8716356107660456,runs/modelnet40_pointgpt_protocol/full/scan_shapenet_mix_mae_s0
full,shapenet_mix_mae,,,1,0.8541329011345219,0.8861283643892339,runs/modelnet40_pointgpt_protocol/full/scan_shapenet_mix_mae_s1
full,shapenet_mix_mae,,,2,0.8541329011345219,0.8840579710144928,runs/modelnet40_pointgpt_protocol/full/scan_shapenet_mix_mae_s2
full,shapenet_mix_nepa,,,0,0.8549432739059968,0.8933747412008282,runs/modelnet40_pointgpt_protocol/full/scan_shapenet_mix_nepa_s0
full,shapenet_mix_nepa,,,1,0.8642625607779578,0.8923395445134575,runs/modelnet40_pointgpt_protocol/full/scan_shapenet_mix_nepa_s1
full,shapenet_mix_nepa,,,2,0.856969205834684,0.8923395445134575,runs/modelnet40_pointgpt_protocol/full/scan_shapenet_mix_nepa_s2
full,shapenet_nepa,,,0,0.856969205834684,0.8871635610766045,runs/modelnet40_pointgpt_protocol/full/scan_shapenet_nepa_s0
full,shapenet_nepa,,,1,0.8687196110210696,0.8840579710144928,runs/modelnet40_pointgpt_protocol/full/scan_shapenet_nepa_s1
full,shapenet_nepa,,,2,0.8537277147487844,0.8799171842650103,runs/modelnet40_pointgpt_protocol/full/scan_shapenet_nepa_s2
fewshot_lp,scratch,10,10,0,0.16153846153846155,0.22274881516587677,runs/modelnet40_pointgpt_protocol/fewshot/scan_scratch_lp_N10_K10_t0
fewshot_lp,scratch,10,10,1,0.19230769230769232,0.19369369369369369,runs/modelnet40_pointgpt_protocol/fewshot/scan_scratch_lp_N10_K10_t1
fewshot_lp,scratch,10,10,2,0.14611260053619302,0.2276923076923077,runs/modelnet40_pointgpt_protocol/fewshot/scan_scratch_lp_N10_K10_t2
