phase,method,n_way,k_shot,n,mean,std
full,scratch,,,3,0.858860075634792,0.004162894383420414
full,shapenet_mesh_udf_nepa,,,3,0.8633171258779039,0.005930442571609967
full,shapenet_mix_mae,,,3,0.8562938951917882,0.003056107103993705
full,shapenet_mix_nepa,,,3,0.8587250135062128,0.004002034681261201
full,shapenet_nepa,,,3,0.859805510534846,0.006440636962488577
fewshot_lp,scratch,5,10,10,0.3341737771548265,0.04194804521347923
fewshot_lp,shapenet_mesh_udf_nepa,5,10,10,0.48889350374065765,0.12084116772394546
fewshot_lp,shapenet_mix_mae,5,10,10,0.5675397627138656,0.1458918919209168
fewshot_lp,shapenet_mix_nepa,5,10,10,0.46822532516730264,0.09707548892726581
fewshot_lp,shapenet_nepa,5,10,10,0.5892830022811275,0.1759306487738191
fewshot_lp,scratch,5,20,10,0.3348880628691122,0.04210978249253658
fewshot_lp,shapenet_mesh_udf_nepa,5,20,10,0.5231765418099928,0.12466806319432487
fewshot_lp,shapenet_mix_mae,5,20,10,0.5898564344763216,0.15251444988668886
fewshot_lp,shapenet_mix_nepa,5,20,10,0.4833516249764676,0.10718654940496204
fewshot_lp,shapenet_nepa,5,20,10,0.6030504506041646,0.16120792560585798
fewshot_lp,scratch,10,10,10,0.16538546815886174,0.022884137995489447
fewshot_lp,shapenet_mesh_udf_nepa,10,10,10,0.3394861792764816,0.05909513442725106
fewshot_lp,shapenet_mix_mae,10,10,10,0.3733826844029009,0.10449981451792016
fewshot_lp,shapenet_mix_nepa,10,10,10,0.3303997583947331,0.0796965362329969
fewshot_lp,shapenet_nepa,10,10,10,0.4091314529052553,0.06673853253463766
fewshot_lp,scratch,10,20,10,0.18610793018427282,0.030753480584939943
fewshot_lp,shapenet_mesh_udf_nepa,10,20,10,0.5031452026291107,0.05543099562343678
fewshot_lp,shapenet_mix_mae,10,20,10,0.38227503519864814,0.11585728914611176
fewshot_lp,shapenet_mix_nepa,10,20,10,0.4285527232831184,0.058950318197524776
fewshot_lp,shapenet_nepa,10,20,10,0.515064646145443,0.08238104473237969
