group_mode,condition,acc
fps_knn,clean,0.8950086058519794
fps_knn,random_keep20,0.5731497418244407
fps_knn,structured_keep20,0.21686746987951808
fps_knn,xyz_zero,0.09294320137693632
random_center_knn,clean,0.8605851979345955
random_center_knn,random_keep20,0.5129087779690189
random_center_knn,structured_keep20,0.2082616179001721
random_center_knn,xyz_zero,0.09294320137693632
voxel_center_knn,clean,0.8760757314974182
voxel_center_knn,random_keep20,0.5972461273666093
voxel_center_knn,structured_keep20,0.2117039586919105
voxel_center_knn,xyz_zero,0.09294320137693632
radius_fps,clean,0.8932874354561101
radius_fps,random_keep20,0.5576592082616179
radius_fps,structured_keep20,0.24096385542168675
radius_fps,xyz_zero,0.09294320137693632
random_group,clean,0.06540447504302926
random_group,random_keep20,0.0757314974182444
random_group,structured_keep20,0.09466437177280551
random_group,xyz_zero,0.09294320137693632
