group_mode,condition,acc
fps_knn,clean,0.8372657876474671
fps_knn,random_keep20,0.38549618320610685
fps_knn,structured_keep20,0.24045801526717558
fps_knn,xyz_zero,0.07078417765440666
random_center_knn,clean,0.8112421929215823
random_center_knn,random_keep20,0.3806384455239417
random_center_knn,structured_keep20,0.21963913948646774
random_center_knn,xyz_zero,0.07078417765440666
voxel_center_knn,clean,0.8289382373351839
voxel_center_knn,random_keep20,0.39555863983344897
voxel_center_knn,structured_keep20,0.2338653712699514
voxel_center_knn,xyz_zero,0.07078417765440666
radius_fps,clean,0.8431644691186676
radius_fps,random_keep20,0.3802914642609299
radius_fps,structured_keep20,0.2356002775850104
radius_fps,xyz_zero,0.07078417765440666
random_group,clean,0.12526023594725885
random_group,random_keep20,0.12144344205412907
random_group,structured_keep20,0.10687022900763359
random_group,xyz_zero,0.07078417765440666
