group_mode,condition,acc
fps_knn,clean,0.8846815834767642
fps_knn,random_keep20,0.5197934595524957
fps_knn,structured_keep20,0.3270223752151463
fps_knn,xyz_zero,0.09294320137693632
random_center_knn,clean,0.8657487091222031
random_center_knn,random_keep20,0.5611015490533563
random_center_knn,structured_keep20,0.30120481927710846
random_center_knn,xyz_zero,0.09294320137693632
voxel_center_knn,clean,0.8709122203098106
voxel_center_knn,random_keep20,0.5748709122203098
voxel_center_knn,structured_keep20,0.3304647160068847
voxel_center_knn,xyz_zero,0.09294320137693632
radius_fps,clean,0.882960413080895
radius_fps,random_keep20,0.5456110154905336
radius_fps,structured_keep20,0.3080895008605852
radius_fps,xyz_zero,0.09294320137693632
random_group,clean,0.13253012048192772
random_group,random_keep20,0.14802065404475043
random_group,structured_keep20,0.13080895008605853
random_group,xyz_zero,0.09294320137693632
