group_mode,condition,accuracy,class_avg_iou,instance_avg_iou,clean_subset_class_avg_iou,clean_subset_instance_avg_iou,damage_class_avg_iou,damage_instance_avg_iou,mean_retained_unique_points,mean_repeated_forward_points,metric_scope,logit_aggregation
fps_knn,clean,0.9442890461899791,0.8280654000798222,0.8554575469823229,0.8280654000798222,0.8554575469823229,0.0,0.0,2048.0,0.0,unique_retained_original_points,mean_by_original_index
fps_knn,random_keep20,0.8858470390549417,0.6847470207991415,0.7446594511480781,0.8317045655791193,0.8635750667919679,0.1469575447799778,0.11891561564388986,410.0,1640.7070285316631,unique_retained_original_points,mean_by_original_index
fps_knn,structured_keep20,0.8406987796391534,0.6062991056707858,0.6642023326724874,0.879257289150976,0.8909464398476311,0.2729581834801902,0.2267441071751437,410.0,1640.7292971468337,unique_retained_original_points,mean_by_original_index
fps_knn,part_drop_largest,0.8019521528848517,0.4517869146715836,0.5450147394424475,0.5889392824529105,0.6452668817581005,0.1371523677813269,0.10025214231565305,768.8458594293668,1366.2564370215728,unique_retained_original_points,mean_by_original_index
fps_knn,part_keep20_per_part,0.8866847775302966,0.6845946305527075,0.7415897654724543,0.8338909324439342,0.8594524598479173,0.14929630189122667,0.11786269437546304,409.60125260960336,1641.1297842727906,unique_retained_original_points,mean_by_original_index
fps_knn,xyz_zero,0.43082155613909184,0.22612422315685624,0.2831342746254132,0.8314830825020972,0.8567649228207674,0.605358859345241,0.5736306481953543,2048.0,0.0,unique_retained_original_points,mean_by_original_index
random_center_knn,clean,0.9379809757198155,0.7979712656497256,0.8343526547545203,0.7979712656497256,0.8343526547545203,0.0,0.0,2048.0,0.0,unique_retained_original_points,mean_by_original_index
random_center_knn,random_keep20,0.8691761291308111,0.6556163279932945,0.7201207479514881,0.8107109298223685,0.845454482072685,0.15509460182907397,0.12533373412119697,410.0,1640.7070285316631,unique_retained_original_points,mean_by_original_index
random_center_knn,structured_keep20,0.8260994280088939,0.5870938658733675,0.6579707444352012,0.843757476614172,0.8726161399750901,0.25666361074080446,0.21464539553988893,410.0,1640.7292971468337,unique_retained_original_points,mean_by_original_index
random_center_knn,part_drop_largest,0.7917007345079367,0.45309311950332637,0.5427715392520317,0.5650853439756829,0.6247679660172843,0.11199222447235652,0.08199642676525265,768.9808629088378,1366.4321503131523,unique_retained_original_points,mean_by_original_index
random_center_knn,part_keep20_per_part,0.8677043727043218,0.6550653581002764,0.7138221003014057,0.8050934610489,0.8404876220000861,0.15002810294862357,0.1266655216986804,409.60751565762007,1641.099164926931,unique_retained_original_points,mean_by_original_index
random_center_knn,xyz_zero,0.43032885759177103,0.22640991599922505,0.2835359938375304,0.8005171601832395,0.835504611117771,0.5741072441840145,0.5519686172802405,2048.0,0.0,unique_retained_original_points,mean_by_original_index
voxel_center_knn,clean,0.9413794064239736,0.8221801613616956,0.8496876805405995,0.8221801613616956,0.8496876805405995,0.0,0.0,2048.0,0.0,unique_retained_original_points,mean_by_original_index
voxel_center_knn,random_keep20,0.8823166488449853,0.6735580358031563,0.7365936119820237,0.8244854654620497,0.8581235241476483,0.1509274296588934,0.12152991216562459,410.0,1640.7070285316631,unique_retained_original_points,mean_by_original_index
voxel_center_knn,structured_keep20,0.8377709319890694,0.5896460740558436,0.6654826461288031,0.864226658003297,0.8838234947913896,0.27458058394745344,0.2183408486625864,410.0,1640.7292971468337,unique_retained_original_points,mean_by_original_index
voxel_center_knn,part_drop_largest,0.7989816828701829,0.44704732828593674,0.5402078457657687,0.5839517026817135,0.6441548081083989,0.13690437439577674,0.10394696234263012,769.0038274182324,1366.4592901878914,unique_retained_original_points,mean_by_original_index
voxel_center_knn,part_keep20_per_part,0.8809319741123965,0.6748305422847962,0.7350930439141639,0.8215908948687194,0.8516381102830889,0.14676035258392317,0.11654506636892503,409.61830201809323,1641.1012526096033,unique_retained_original_points,mean_by_original_index
voxel_center_knn,xyz_zero,0.4302537635373173,0.22582054843659827,0.28313258982290945,0.8216305030821585,0.8488353610336588,0.5958099546455602,0.5657027712107493,2048.0,0.0,unique_retained_original_points,mean_by_original_index
radius_fps,clean,0.9441047089748609,0.8295138322957457,0.8551896959921819,0.8295138322957457,0.8551896959921819,0.0,0.0,2048.0,0.0,unique_retained_original_points,mean_by_original_index
radius_fps,random_keep20,0.8847403975083592,0.6815509404336969,0.7436073452369084,0.8372838397995084,0.8648906928118278,0.15573289936581147,0.12128334757491943,410.0,1640.7070285316631,unique_retained_original_points,mean_by_original_index
radius_fps,structured_keep20,0.84049001137193,0.6036087893982409,0.665845233253202,0.8669030246753123,0.8885115728499697,0.2632942352770714,0.22266633959676774,410.0,1640.7292971468337,unique_retained_original_points,mean_by_original_index
radius_fps,part_drop_largest,0.8005319979523917,0.45449100429443884,0.5458107138488597,0.5938367797797116,0.6464802569488801,0.13934577548527277,0.10066954310002041,768.7567849686848,1366.6367432150314,unique_retained_original_points,mean_by_original_index
radius_fps,part_keep20_per_part,0.8832612571746995,0.6793725518982034,0.7376824537246052,0.8303201300007241,0.8573557354289959,0.15094757810252069,0.11967328170439073,409.61273486430065,1641.1099512874043,unique_retained_original_points,mean_by_original_index
