group_mode,condition,acc
fps_knn,clean,0.9001721170395869
fps_knn,random_keep20,0.43029259896729777
fps_knn,structured_keep20,0.24784853700516352
fps_knn,xyz_zero,0.09294320137693632
random_center_knn,clean,0.8812392426850258
random_center_knn,random_keep20,0.39414802065404475
random_center_knn,structured_keep20,0.18760757314974183
random_center_knn,xyz_zero,0.09294320137693632
voxel_center_knn,clean,0.8881239242685026
voxel_center_knn,random_keep20,0.43717728055077454
voxel_center_knn,structured_keep20,0.2099827882960413
voxel_center_knn,xyz_zero,0.09294320137693632
radius_fps,clean,0.9070567986230637
radius_fps,random_keep20,0.45438898450946646
radius_fps,structured_keep20,0.22203098106712565
radius_fps,xyz_zero,0.09294320137693632
random_group,clean,0.07401032702237521
random_group,random_keep20,0.08261617900172118
random_group,structured_keep20,0.07056798623063683
random_group,xyz_zero,0.09294320137693632
